,row_doc,col_feature,tfidf_value
97,14,7706,0.327255835737
96,14,9822,0.25669324746
110,15,1198,0.349671126971
109,15,2400,0.347577144807
108,15,3373,0.387326540702
107,15,3739,0.43765110478
106,15,3741,0.513490944677
105,15,6956,0.303153908501
104,15,10160,0.244508998235
111,16,6956,1.0
134,17,370,0.24262294671
133,17,371,0.24262294671
132,17,2551,0.106887368362
131,17,2598,0.24262294671
130,17,2599,0.24262294671
129,17,2773,0.168570726665
128,17,2778,0.2316680602
127,17,2780,0.24262294671
126,17,3904,0.190048201272
125,17,3905,0.223895444525
124,17,3906,0.24262294671
123,17,3928,0.208775703457
122,17,3929,0.24262294671
121,17,3930,0.24262294671
120,17,4001,0.24262294671
119,17,4002,0.24262294671
118,17,6630,0.103469130309
117,17,7381,0.0951154583789
116,17,7398,0.2316680602
115,17,10516,0.0965315767852
114,17,10556,0.173322953801
113,17,10594,0.208775703457
112,17,10915,0.177836433512
140,18,4123,0.318910060581
139,18,4130,0.535977441727
138,18,4962,0.324188043155
137,18,6576,0.222945996772
136,18,8306,0.362492214171
135,18,9029,0.569930824823
147,19,1003,0.274378482274
146,19,1156,0.306046607573
145,19,2135,0.575435220251
144,19,6630,0.45114765555
143,19,6636,0.373497542257
142,19,8092,0.241559347574
141,19,8398,0.313911914672
162,20,860,0.240442439118
161,20,943,0.426582440965
160,20,1003,0.147658178004
159,20,1198,0.254235916649
158,20,3053,0.255608854116
157,20,3144,0.26268218708
156,20,3373,0.140807047712
155,20,4028,0.137893905336
154,20,4029,0.181992468967
153,20,6394,0.330125628704
152,20,6395,0.420237434601
151,20,6455,0.142909381092
150,20,9351,0.205885962217
149,20,9569,0.256704790338
148,20,9584,0.230615878048
201,21,2271,0.223482374658
200,21,2274,0.179325277311
199,21,2275,0.179325277311
198,21,2289,0.179325277311
197,21,2290,0.179325277311
196,21,2551,0.0790016246707
195,21,2611,0.073873855592
194,21,2629,0.179325277311
193,21,2630,0.179325277311
192,21,4937,0.0961196610854
191,21,4950,0.179325277311
190,21,5410,0.111741187329
189,21,5416,0.154308409101
188,21,5418,0.179325277311
187,21,5763,0.179325277311
186,21,5764,0.179325277311
185,21,5765,0.179325277311
184,21,6045,0.179325277311
183,21,6046,0.179325277311
182,21,6362,0.103985675528
181,21,6365,0.171228400705
180,21,6366,0.179325277311
179,21,6736,0.0773024188112
178,21,6956,0.0694279879507
177,21,6990,0.179325277311
176,21,7799,0.0909639449428
175,21,7824,0.179325277311
174,21,7825,0.179325277311
173,21,8917,0.110431251921
172,21,8937,0.179325277311
171,21,8938,0.179325277311
170,21,9693,0.0850998991828
169,21,9735,0.179325277311
168,21,10013,0.179325277311
167,21,10014,0.179325277311
166,21,10032,0.101204701894
165,21,10052,0.179325277311
164,21,10053,0.179325277311
163,21,10365,0.179325277311
207,22,3356,0.474005699837
206,22,3615,0.307769904458
205,22,5006,0.315324923052
204,22,5017,0.467239996418
203,22,7516,0.298504644871
202,22,7748,0.523209554645
209,23,2492,0.539064668541
208,23,3908,0.842264378406
216,24,2445,0.308089298267
215,24,2492,0.333014718164
214,24,6469,0.348185810362
213,24,6476,0.428399201736
212,24,6477,0.46690363101
211,24,8801,0.29647608756
210,24,8804,0.428399201736
225,25,1117,0.331003114849
224,25,2135,0.236318360233
