,0
0,-1.20585658912
1,-0.965301094371
2,-0.949129004034
3,-1.31786356413
4,-1.07579211845
5,-0.915536204046
6,-0.999680138235
7,-0.992520544971
8,-1.14975280364
9,-0.946704462242
10,-0.990119587361
11,-0.964893772958
12,-1.04536652994
13,-0.957972250175
14,-0.905998208168
15,-1.20915700036
16,-0.963423893649
17,-0.98019640316
18,-0.930728084298
19,-1.00440575087
20,-1.21323383929
21,-0.657736622292
22,-1.16174812633
23,-0.999781377285
24,-0.995287604393
25,-0.957877824185
26,-0.990294121587
27,-0.910953484872
28,-1.09763259265
29,-0.99121709684
30,-0.990033583809
31,-0.508173975001
